star_name,miles_id,spectral_type,temperature_k,log_g,metallicity
HD001461,0013,G0V,5808,4.37,0.20
HD003369,0020,B5V,15276,4.10,-0.20
HD004628,0031,K2V,4960,4.60,-0.29
HD008829,0058,F0V,7163,4.15,0.06
HD016673,0092,F6V,6213,4.28,0.05
HD021197,0117,K5V,4616,4.59,0.30
HD022049,0120,K2V,5052,4.57,-0.15
HD022484,0121,F8V,5922,4.03,-0.10
HD023607,0129,A7V,7875,4.00,-0.30
HD023924,0131,A7V,8000,4.00,-0.30
HD038392,0190,K2V,4727,4.50,0.02
HD043042,0212,F6V,6392,4.22,0.08
HD043378,0217,A2Vs,9120,4.17,-0.32
HD049933,0235,F2V,6550,4.09,-0.30
HD065900,0288,A1V,9692,4.00,0.24
HD069830,0297,K0V,5484,4.65,-0.16
HD071030,0301,F6V,6502,4.04,-0.26
HD075732,0322,G8V,5079,4.48,0.16
HD076151,0323,G2V,5692,4.28,0.05
HD087822,0372,F4V,6570,4.19,0.13
HD091889,0390,F7V,6067,4.15,-0.23
HD104833,0429,F0,7727,4.11,-0.15
HD114330,0461,A1V,9509,3.80,-0.01
HD115617,0468,G5V,5519,4.20,-0.01
HD126141,0506,F5V,6690,4.39,0.02
HD138764,0563,B6IV,13827,3.97,-0.13
HD146624,0592,A0V:,9509,4.50,0.01
HD149121,0605,B9.5III,11100,3.78,0.13
HD169027,0671,A0,11588,3.78,-0.17
HD175892,0708,A1V,8816,4.23,-0.10
HD194943,0763,F3V,6803,4.01,-0.17
HD196544,0767,A2V,9164,4.30,0.17
HD210424,0826,B5III,13860,4.00,-0.26
HD216831,0852,B7III,12923,3.80,0.40
HD220825,0877,A0p...,10286,3.70,-0.18
HD 107276         Cl,0920,A6 IV-V,7969,4.21,-0.05
HD 107513         Cl,0921,A9 V,7273,4.25,-0.05
HD 109307         Cl,0922,A4 V,8471,4.16,-0.05
HD 030034         Cl,0911,F0 V,7515,4.11,0.13
HD 030210         Cl,0912,Am,7928,4.11,0.13
