vel flux
-1.050000000000e+03 0.000000000000e+00
-1.020000000000e+03 0.000000000000e+00
-9.900000000000e+02 0.000000000000e+00
-9.600000000000e+02 0.000000000000e+00
-9.300000000000e+02 0.000000000000e+00
-9.000000000000e+02 0.000000000000e+00
-8.700000000000e+02 -6.675778706060e-03
-8.400000000000e+02 -2.826016798734e-03
-8.100000000000e+02 -1.061331203326e-03
-7.800000000000e+02 -3.009782934095e-03
-7.500000000000e+02 5.397565621208e-03
-7.200000000000e+02 -1.420012303088e-03
-6.900000000000e+02 -9.826679696479e-04
-6.600000000000e+02 -1.166125516847e-04
-6.300000000000e+02 1.585986331930e-03
-6.000000000000e+02 3.241633926819e-04
-5.700000000000e+02 -1.275242031587e-03
-5.400000000000e+02 3.149670035237e-03
-5.100000000000e+02 -7.614857320076e-04
-4.800000000000e+02 8.920488371462e-06
-4.500000000000e+02 -2.332611910033e-03
-4.200000000000e+02 -1.548562838674e-03
-3.900000000000e+02 5.068852665379e-03
-3.600000000000e+02 -4.811935355336e-05
-3.300000000000e+02 2.127366405442e-03
-3.000000000000e+02 1.610875921468e-03
-2.700000000000e+02 2.380018585716e-03
-2.400000000000e+02 4.498713707025e-03
-2.100000000000e+02 6.637813406557e-03
-1.800000000000e+02 8.206528099750e-03
-1.500000000000e+02 7.843456640855e-03
-1.200000000000e+02 8.071897890108e-03
-9.000000000000e+01 1.335265318396e-02
-6.000000000000e+01 1.243315374301e-02
-3.000000000000e+01 6.792026365542e-03
1.997018939104e-10 9.868717662342e-03
3.000000000000e+01 1.342308871129e-02
6.000000000000e+01 6.465295621874e-03
9.000000000000e+01 1.257643187176e-02
1.200000000000e+02 7.652042275531e-03
1.500000000000e+02 7.199053629443e-03
1.800000000000e+02 8.564974237991e-03
2.100000000000e+02 1.090930609067e-02
2.400000000000e+02 1.139284569494e-02
2.700000000000e+02 7.928098101479e-03
3.000000000000e+02 -9.916815036682e-04
3.300000000000e+02 1.524829936927e-03
3.600000000000e+02 1.812657680777e-03
3.900000000000e+02 3.038293267556e-03
4.200000000000e+02 -4.759359958328e-05
4.500000000000e+02 1.749064409362e-03
4.800000000000e+02 1.128718787399e-03
5.100000000000e+02 -3.860488121291e-03
5.400000000000e+02 4.229516230249e-03
5.700000000000e+02 -4.875491195032e-04
6.000000000000e+02 3.811202707115e-03
6.300000000000e+02 -3.148619086090e-03
6.600000000000e+02 7.114473919233e-04
6.900000000000e+02 5.443554183115e-04
7.200000000000e+02 -2.752684723946e-03
7.500000000000e+02 4.189881523777e-03
7.800000000000e+02 1.805586185385e-03
8.100000000000e+02 -1.054238488680e-03
8.400000000000e+02 -1.723809443334e-03
8.700000000000e+02 4.726584659010e-03
9.000000000000e+02 -5.059869529729e-04
9.300000000000e+02 -1.917235823142e-03
9.600000000000e+02 -9.273019873466e-05
9.900000000000e+02 -1.501176666990e-03
1.020000000000e+03 1.100119547645e-02
